run,defence_level,peak_infected,peak_infected_step,total_exposed,total_infected,final_recovered,compromise_step
1,0.2,78,4,27,1522,95,2
2,0.2,73,4,49,1523,87,3
3,0.2,74,4,38,1558,90,1
4,0.2,72,5,44,1326,97,3
5,0.2,81,10,44,1786,88,8
6,0.2,76,4,55,1690,90,1
7,0.2,75,6,37,1693,88,2
8,0.2,75,15,42,1240,88,13
9,0.2,70,10,42,1477,86,9
10,0.2,82,3,34,1745,89,2
11,0.2,73,6,49,1217,95,4
12,0.2,84,4,40,1757,88,1
13,0.2,78,17,55,1435,91,12
14,0.2,68,6,54,1323,93,4
15,0.2,80,8,39,1461,91,6
16,0.2,75,11,34,1342,91,9
17,0.2,75,5,43,1546,91,3
18,0.2,79,4,43,1660,90,1
19,0.2,80,4,43,1580,93,2
20,0.2,88,6,43,1874,87,4
21,0.2,76,7,24,1334,94,6
22,0.2,77,5,43,1433,91,3
23,0.2,73,5,31,1548,92,3
24,0.2,77,7,42,1574,91,5
25,0.2,83,4,34,1532,90,2
26,0.2,74,2,45,1429,94,1
27,0.2,75,4,40,1540,91,2
28,0.2,77,4,34,1553,92,2
29,0.2,75,6,40,1454,94,4
30,0.2,83,9,28,1340,96,8
1,0.5,63,6,54,544,100,5
2,0.5,57,10,50,609,97,9
3,0.5,59,6,43,629,100,4
4,0.5,56,3,45,588,99,2
5,0.5,55,18,41,672,96,17
6,0.5,55,3,40,511,100,2
7,0.5,62,4,48,634,100,3
8,0.5,53,2,29,561,99,1
9,0.5,68,2,38,766,99,1
10,0.5,60,3,50,641,100,2
11,0.5,65,3,44,582,99,2
12,0.5,62,4,35,530,100,3
13,0.5,60,2,46,684,98,1
14,0.5,54,9,38,585,99,8
15,0.5,62,4,39,620,100,3
16,0.5,58,12,46,601,99,11
17,0.5,63,3,53,679,100,1
18,0.5,57,1,24,629,100,1
19,0.5,65,5,37,731,99,3
20,0.5,54,8,33,628,99,7
21,0.5,58,6,47,720,100,4
22,0.5,62,7,48,728,99,4
23,0.5,64,2,37,620,100,1
24,0.5,52,2,35,529,99,1
25,0.5,58,5,38,571,100,3
26,0.5,58,2,34,526,99,1
27,0.5,61,12,36,747,98,11
28,0.5,66,6,48,577,99,4
29,0.5,58,16,43,575,100,15
30,0.5,55,4,52,580,99,2
1,0.8,44,1,56,325,100,1
2,0.8,46,4,50,313,100,3
3,0.8,50,3,34,319,100,2
4,0.8,43,3,37,364,100,2
5,0.8,48,1,32,367,100,1
6,0.8,53,3,43,400,100,2
7,0.8,42,6,41,302,99,5
8,0.8,41,3,62,369,100,2
9,0.8,58,7,34,333,100,6
10,0.8,47,3,44,344,100,1
11,0.8,37,8,44,325,100,6
12,0.8,43,2,49,293,100,1
13,0.8,53,2,33,406,100,1
14,0.8,43,6,50,347,100,6
15,0.8,46,2,26,302,100,1
16,0.8,50,3,33,422,100,2
17,0.8,42,3,48,278,100,1
18,0.8,47,6,43,348,100,6
19,0.8,49,8,53,299,100,7
20,0.8,46,6,32,317,100,5
21,0.8,47,5,42,313,100,4
22,0.8,40,2,44,399,98,1
23,0.8,44,5,44,413,100,4
24,0.8,44,5,39,355,100,4
25,0.8,44,4,45,357,100,3
26,0.8,57,7,57,307,100,5
27,0.8,50,2,35,316,100,1
28,0.8,49,11,36,369,100,10
29,0.8,48,4,47,378,100,4
30,0.8,45,4,43,348,99,3
