detection_delay,run,peak_infected,time_to_peak,total_infected,recovery_time,still_infected_t80
3,1,16,16,383,46.0,0
3,2,17,18,404,46.0,0
3,3,13,13,382,44.0,0
3,4,18,19,394,44.0,0
3,5,18,35,395,45.0,0
3,6,15,14,379,45.0,0
3,7,17,10,380,41.0,0
3,8,17,11,404,45.0,0
3,9,15,13,370,42.0,0
3,10,16,35,387,55.0,0
3,11,16,17,403,42.0,0
3,12,20,22,407,46.0,0
3,13,16,14,379,46.0,0
3,14,16,15,394,45.0,0
3,15,15,14,372,46.0,0
3,16,17,19,388,42.0,0
3,17,17,20,381,38.0,0
3,18,17,12,394,47.0,0
3,19,19,23,386,45.0,0
3,20,20,10,407,46.0,0
3,21,18,30,423,43.0,0
3,22,16,22,413,50.0,0
3,23,13,31,377,57.0,0
3,24,15,19,392,51.0,0
3,25,20,28,407,48.0,0
3,26,15,22,396,52.0,0
3,27,16,26,396,40.0,0
3,28,16,34,417,44.0,0
3,29,15,12,380,39.0,0
3,30,18,31,417,50.0,0
3,31,16,35,387,48.0,0
3,32,18,22,383,39.0,0
3,33,16,13,373,41.0,0
3,34,20,13,431,38.0,0
3,35,14,12,385,46.0,0
3,36,18,13,389,44.0,0
3,37,21,32,395,42.0,0
3,38,15,18,393,43.0,0
3,39,16,32,400,49.0,0
3,40,17,34,377,48.0,0
3,41,16,28,362,42.0,0
3,42,15,10,395,44.0,0
3,43,18,32,388,41.0,0
3,44,18,24,394,40.0,0
3,45,16,42,381,53.0,0
3,46,17,9,375,42.0,0
3,47,18,23,382,45.0,0
3,48,15,26,382,47.0,0
3,49,23,26,375,48.0,0
3,50,16,15,406,44.0,0
3,51,16,34,402,54.0,0
3,52,13,17,408,47.0,0
3,53,15,34,385,49.0,0
3,54,19,19,430,37.0,0
3,55,17,17,398,48.0,0
3,56,19,12,403,39.0,0
3,57,17,20,378,39.0,0
3,58,17,16,381,44.0,0
3,59,17,12,392,41.0,0
3,60,15,14,382,44.0,0
3,61,19,18,381,46.0,0
3,62,16,34,406,52.0,0
3,63,16,16,401,42.0,0
3,64,21,17,400,39.0,0
3,65,19,32,390,46.0,0
3,66,15,16,404,43.0,0
3,67,17,24,379,51.0,0
3,68,18,18,390,45.0,0
3,69,17,21,399,46.0,0
3,70,15,23,418,43.0,0
3,71,17,17,396,44.0,0
3,72,14,24,399,43.0,0
3,73,17,19,437,46.0,0
3,74,20,34,406,52.0,0
3,75,15,11,379,40.0,0
3,76,15,12,369,43.0,0
3,77,17,33,399,48.0,0
3,78,20,20,431,39.0,0
3,79,16,18,401,46.0,0
3,80,14,24,400,44.0,0
3,81,17,27,390,51.0,0
3,82,19,18,424,42.0,0
3,83,19,35,405,48.0,0
3,84,17,12,401,38.0,0
3,85,17,17,410,40.0,0
3,86,17,28,387,46.0,0
3,87,18,24,401,41.0,0
3,88,16,11,407,43.0,0
3,89,16,13,422,40.0,0
3,90,17,48,395,53.0,0
3,91,16,20,388,45.0,0
3,92,15,11,387,40.0,0
3,93,16,22,411,43.0,0
3,94,17,13,395,45.0,0
3,95,17,29,372,44.0,0
3,96,15,24,380,40.0,0
3,97,17,22,421,41.0,0
3,98,15,28,399,44.0,0
3,99,17,24,375,39.0,0
3,100,14,31,392,45.0,0
10,1,39,17,1082,48.0,0
10,2,32,29,1107,55.0,0
10,3,37,25,1101,48.0,0
10,4,39,37,1125,55.0,0
10,5,35,13,1115,53.0,0
10,6,35,44,1089,61.0,0
10,7,36,29,1113,54.0,0
10,8,38,18,1109,53.0,0
10,9,34,15,1079,48.0,0
10,10,38,28,1080,47.0,0
10,11,34,28,1087,53.0,0
10,12,34,44,1103,63.0,0
10,13,37,28,1126,53.0,0
10,14,36,34,1119,53.0,0
10,15,38,30,1086,61.0,0
10,16,34,16,1069,49.0,0
10,17,33,20,1074,54.0,0
10,18,40,22,1099,51.0,0
10,19,41,28,1100,50.0,0
10,20,35,21,1123,52.0,0
10,21,43,28,1083,48.0,0
10,22,35,33,1112,53.0,0
10,23,35,28,1098,51.0,0
10,24,37,30,1089,50.0,0
10,25,40,25,1087,50.0,0
10,26,39,19,1098,47.0,0
10,27,34,18,1085,53.0,0
10,28,37,20,1089,48.0,0
10,29,35,16,1084,49.0,0
10,30,37,25,1076,54.0,0
10,31,34,31,1103,59.0,0
10,32,35,20,1097,55.0,0
10,33,40,27,1104,48.0,0
10,34,34,33,1104,61.0,0
10,35,38,22,1110,57.0,0
10,36,34,18,1122,53.0,0
10,37,36,30,1111,56.0,0
10,38,37,16,1094,49.0,0
10,39,36,15,1074,49.0,0
10,40,39,20,1101,52.0,0
10,41,36,37,1105,50.0,0
10,42,33,23,1121,61.0,0
10,43,38,30,1141,50.0,0
10,44,38,38,1101,54.0,0
10,45,37,17,1101,54.0,0
10,46,39,21,1066,47.0,0
10,47,40,16,1109,47.0,0
10,48,37,18,1071,45.0,0
10,49,31,22,1091,52.0,0
10,50,33,19,1094,52.0,0
10,51,38,29,1079,49.0,0
10,52,38,34,1086,50.0,0
10,53,32,29,1101,54.0,0
10,54,34,29,1080,51.0,0
10,55,38,22,1102,48.0,0
10,56,38,32,1084,44.0,0
10,57,36,17,1059,45.0,0
10,58,35,37,1081,54.0,0
10,59,34,30,1088,58.0,0
10,60,40,22,1100,50.0,0
10,61,45,33,1111,46.0,0
10,62,33,15,1093,52.0,0
10,63,37,28,1083,56.0,0
10,64,39,16,1080,46.0,0
10,65,36,25,1100,62.0,0
10,66,33,32,1075,49.0,0
10,67,38,17,1091,50.0,0
10,68,40,28,1096,51.0,0
10,69,37,30,1105,55.0,0
10,70,35,16,1091,57.0,0
10,71,35,28,1078,50.0,0
10,72,35,40,1098,64.0,0
10,73,35,13,1070,49.0,0
10,74,36,15,1086,53.0,0
10,75,36,29,1107,48.0,0
10,76,41,19,1106,48.0,0
10,77,39,34,1094,62.0,0
10,78,33,24,1088,51.0,0
10,79,34,26,1105,52.0,0
10,80,40,21,1109,48.0,0
10,81,33,21,1108,52.0,0
10,82,33,16,1085,53.0,0
10,83,38,25,1094,44.0,0
10,84,37,16,1094,45.0,0
10,85,35,25,1098,56.0,0
10,86,33,28,1121,52.0,0
10,87,37,20,1075,49.0,0
10,88,39,21,1086,45.0,0
10,89,40,17,1089,48.0,0
10,90,30,39,1091,69.0,0
