test,parameter,value,run,peak_exposed,peak_infected,final_recovered,compromise_step
defence_sensitivity,defence_level,0.2,1,15,32,90,3
defence_sensitivity,defence_level,0.2,2,13,28,95,3
defence_sensitivity,defence_level,0.2,3,16,32,92,3
defence_sensitivity,defence_level,0.2,4,17,34,90,7
defence_sensitivity,defence_level,0.2,5,15,35,95,2
defence_sensitivity,defence_level,0.2,6,14,30,85,4
defence_sensitivity,defence_level,0.2,7,15,37,77,12
defence_sensitivity,defence_level,0.2,8,16,31,97,1
defence_sensitivity,defence_level,0.2,9,13,32,100,1
defence_sensitivity,defence_level,0.2,10,15,35,89,7
defence_sensitivity,defence_level,0.2,11,12,30,96,2
defence_sensitivity,defence_level,0.2,12,12,34,97,1
defence_sensitivity,defence_level,0.2,13,14,29,69,12
defence_sensitivity,defence_level,0.2,14,14,26,92,2
defence_sensitivity,defence_level,0.2,15,13,28,85,6
defence_sensitivity,defence_level,0.2,16,15,31,83,10
defence_sensitivity,defence_level,0.2,17,17,33,95,4
defence_sensitivity,defence_level,0.2,18,14,33,64,19
defence_sensitivity,defence_level,0.2,19,12,34,85,2
defence_sensitivity,defence_level,0.2,20,14,32,91,3
defence_sensitivity,defence_level,0.2,21,11,28,85,7
defence_sensitivity,defence_level,0.2,22,17,34,71,17
defence_sensitivity,defence_level,0.2,23,14,33,98,1
defence_sensitivity,defence_level,0.2,24,15,35,71,12
defence_sensitivity,defence_level,0.2,25,13,28,94,6
defence_sensitivity,defence_level,0.2,26,16,26,95,3
defence_sensitivity,defence_level,0.2,27,17,29,89,8
defence_sensitivity,defence_level,0.2,28,14,29,92,2
defence_sensitivity,defence_level,0.2,29,14,31,91,7
defence_sensitivity,defence_level,0.2,30,14,26,94,1
defence_sensitivity,defence_level,0.2,31,13,29,85,3
defence_sensitivity,defence_level,0.2,32,16,35,95,4
defence_sensitivity,defence_level,0.2,33,14,30,86,6
defence_sensitivity,defence_level,0.2,34,15,36,70,13
defence_sensitivity,defence_level,0.2,35,16,33,95,2
defence_sensitivity,defence_level,0.2,36,12,29,92,1
defence_sensitivity,defence_level,0.2,37,15,28,98,2
defence_sensitivity,defence_level,0.2,38,14,31,94,2
defence_sensitivity,defence_level,0.2,39,15,31,93,1
defence_sensitivity,defence_level,0.2,40,13,28,96,2
defence_sensitivity,defence_level,0.2,41,17,37,96,1
defence_sensitivity,defence_level,0.2,42,13,30,89,1
defence_sensitivity,defence_level,0.2,43,12,26,84,6
defence_sensitivity,defence_level,0.2,44,13,30,93,5
defence_sensitivity,defence_level,0.2,45,12,27,89,2
defence_sensitivity,defence_level,0.2,46,16,28,77,12
defence_sensitivity,defence_level,0.2,47,13,27,91,3
defence_sensitivity,defence_level,0.2,48,14,29,98,2
defence_sensitivity,defence_level,0.2,49,13,31,81,12
defence_sensitivity,defence_level,0.2,50,15,31,97,1
defence_sensitivity,defence_level,0.2,51,15,33,88,6
defence_sensitivity,defence_level,0.2,52,11,26,80,5
defence_sensitivity,defence_level,0.2,53,18,29,86,2
defence_sensitivity,defence_level,0.2,54,12,28,88,4
defence_sensitivity,defence_level,0.2,55,14,36,92,1
defence_sensitivity,defence_level,0.2,56,14,31,99,1
defence_sensitivity,defence_level,0.2,57,15,32,79,10
defence_sensitivity,defence_level,0.2,58,14,34,88,3
defence_sensitivity,defence_level,0.2,59,14,28,91,5
defence_sensitivity,defence_level,0.2,60,14,34,96,1
defence_sensitivity,defence_level,0.2,61,13,27,73,10
defence_sensitivity,defence_level,0.2,62,14,31,68,15
defence_sensitivity,defence_level,0.2,63,13,25,86,5
defence_sensitivity,defence_level,0.2,64,13,35,98,2
defence_sensitivity,defence_level,0.2,65,16,31,97,2
defence_sensitivity,defence_level,0.2,66,14,29,93,3
defence_sensitivity,defence_level,0.2,67,14,29,95,3
defence_sensitivity,defence_level,0.2,68,15,32,92,10
defence_sensitivity,defence_level,0.2,69,13,35,94,2
defence_sensitivity,defence_level,0.2,70,12,29,82,11
defence_sensitivity,defence_level,0.2,71,14,31,99,1
defence_sensitivity,defence_level,0.2,72,15,30,98,1
defence_sensitivity,defence_level,0.2,73,12,35,96,1
defence_sensitivity,defence_level,0.2,74,13,32,92,3
defence_sensitivity,defence_level,0.2,75,12,32,96,1
defence_sensitivity,defence_level,0.2,76,15,32,85,9
defence_sensitivity,defence_level,0.2,77,13,33,94,4
defence_sensitivity,defence_level,0.2,78,15,31,70,10
defence_sensitivity,defence_level,0.2,79,13,32,100,1
defence_sensitivity,defence_level,0.2,80,13,30,80,10
defence_sensitivity,defence_level,0.2,81,16,27,98,1
defence_sensitivity,defence_level,0.2,82,15,35,97,2
defence_sensitivity,defence_level,0.2,83,15,28,91,7
defence_sensitivity,defence_level,0.2,84,16,31,98,1
defence_sensitivity,defence_level,0.2,85,14,31,71,15
